               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036002,            0.027144,            0.005272,             0.86361,             0.78763,             0.86179,             0.45025,             0.03458,           0.0068882,           0.0010072,            0.070036,           0.0033294,           0.0033294
                   1,            0.035456,            0.026476,           0.0046463,              0.8509,             0.79271,             0.86132,             0.44272,            0.035191,            0.006843,          0.00097237,            0.036738,           0.0033647,           0.0033647
